mmsi,country_name,Search,Manual Label,Notes,Person,nn_times_classified_all,nn_number_max_labels_all,nn_average_length_all,nn_max_label_all,nn_max_score_all,nn_max_label_fishing_all,nn_max_fishing_score_all,nn_max_sublabel_all,nn_max_sub_score_all,nn_max_sublabel_fishing_all,nn_max_sub_fishing_score_all,positions,active_positions,active_hours,fishing_points,num_A,num_B,iso3,,average_length,avg_num_distinct_lengths,avg_width,number_valid_length_messages,gap_hours,num_gaps,training_label,training_sublabel,training_length,training_listsources,spoofing_hours,num_overlapping_segs,fishing_fraction
413784735,China,https://www.google.com/search?q=mmsi%20413784735,,,,2,1,17.843125343322754,Cargo_Tanker,0.999588817358017,Squid,3.283775157217686E-8,Cargo,0.9591695666313171,Squid,2.2163677932665257E-8,1454,1356,860.6737499999999,1,627,0,CHN,,44.0,1.0,8.0,548,,,,,,,,,7.374631268436578E-4
413466588,China,https://www.google.com/search?q=mmsi%20413466588,,,,1,1,26.1202335357666,Seismic_vessel,0.9995438456535339,Trawlers,1.0625515187712153E-6,Seismic_vessel,0.9996079802513123,Trawlers,1.0010215873990091E-6,5380,5041,1905.148472222222,45,0,0,CHN,,99.0,1.0,17.0,147,,,,,,,84.64888888888889,3,0.008926800238048007
413989232,China,https://www.google.com/search?q=mmsi%20413989232,,,,3,1,9.765063603719076,Cargo_Tanker,0.9995414813359579,Trawlers,2.6528871201654997E-8,Cargo,0.9405443469683329,Trawlers,1.6095867504580436E-8,1345,1153,1486.8894444444445,0,827,0,CHN,,51.99148936170213,2.0,10.212765957446809,940,,,,,,,,,0.0
412697110,China,https://www.google.com/search?q=mmsi%20412697110,,,,3,1,6.107637087504069,Cargo_Tanker,0.9995412627855936,Squid,2.9455910344200475E-7,Cargo,0.8671619892120361,Squid,1.8107425938292584E-7,13324,12969,265063.22125,5,26,0,CHN,,37.0,1.0,7.0,23,175.43166666666667,3,,,,,,,3.8553473667977484E-4
413427190,China,https://www.google.com/search?q=mmsi%20413427190,,,,8,1,14.740187346935272,Cargo_Tanker,0.9995080754160881,Trawlers,9.10967931089246E-8,Cargo,0.8891971930861473,Trawlers,1.1356670170936667E-7,26085,20024,11280.286944444444,406,5726,0,CHN,,53.0,1.0,9.024736205277227,7078,,,,,,,,,0.020275669196963643
413906475,China,https://www.google.com/search?q=mmsi%20413906475,,,,1,1,12.043716430664062,Cargo_Tanker,0.9994714856147766,Trawlers,1.631610757613089E-5,Cargo,0.8273853659629822,Trawlers,1.4822236153122503E-5,12668,3271,1316.5374999999997,145,0,0,CHN,,48.0,1.0,13.0,211,,,,,,,,,0.04432895139101192
413983702,China,https://www.google.com/search?q=mmsi%20413983702,,,,2,1,19.531655311584473,Cargo_Tanker,0.9994640350341797,Trawlers,1.213146134659837E-7,Cargo,0.9595798254013062,Trawlers,6.971330357430361E-8,2860,1571,1892.2477777777779,0,1621,0,CHN,,49.00095939651412,2.5,11.042917074817009,2020,,,,,,,,,0.0
412343001,China,https://www.google.com/search?q=mmsi%20412343001,,,,1,1,-2.566926956176758,Passenger,0.9994326233863831,Trawlers,1.8983556947205216E-4,Sailing,0.9983336329460144,Pots_and_traps,0.0011560512939468026,2366,2235,2230.664861111112,10,0,0,CHN,,18.0,1.0,4.0,569,,,,,,,,,0.0044742729306487695
412456890,China,https://www.google.com/search?q=mmsi%20412456890,,,,8,1,11.92659080028534,Cargo_Tanker,0.999409131705761,Trawlers,5.5024278109438995E-6,Cargo,0.790964312851429,Trawlers,4.1401934537388385E-6,31159,27702,12642.213472222225,984,12215,0,CHN,,54.0,1.0,9.0,17195,,,,,,,,,0.035520901017977044
413854231,China,https://www.google.com/search?q=mmsi%20413854231,,,,5,1,21.816773986816408,Cargo_Tanker,0.9993812441825867,Trawlers,1.9291263328446996E-8,Cargo,0.9533832192420959,Trawlers,1.4977442155950092E-8,10909,10461,5414.163194444443,31,3704,0,CHN,,23.0,1.0,5.0,124,,,,,,,18.19111111111111,3,0.0029633878214319854
