mmsi,inferred,known
205219090,cargo_or_tanker,
205219990,cargo_or_tanker,
205220000,passenger,
205220190,tug,
205220390,tug,
205220990,cargo_or_tanker,
205221990,cargo_or_tanker,
205223190,cargo_or_tanker,
205223590,cargo_or_tanker,
205224090,cargo_or_tanker,
205224290,cargo_or_tanker,
205224490,cargo_or_tanker,
205225590,cargo_or_tanker,
205225990,passenger,
205226290,cargo_or_tanker,
205227000,trawlers,trawlers
205227090,cargo_or_tanker,
205227290,cargo_or_tanker,
205227990,cargo_or_tanker,
205228490,cargo_or_tanker,
205228690,cargo_or_tanker,
205229090,cargo_or_tanker,cargo_or_tanker
205230990,cargo_or_tanker,
205231000,cargo_or_tanker,
205231200,cargo_or_tanker,
205232190,cargo_or_tanker,
205232390,cargo_or_tanker,
205232690,passenger,
205232790,passenger,
205232890,cargo_or_tanker,
205232990,cargo_or_tanker,
205233000,tug,
205233090,cargo_or_tanker,
205233290,passenger,
205233390,cargo_or_tanker,
205233890,cargo_or_tanker,
205234000,tug,tug
205234090,cargo_or_tanker,
205234390,cargo_or_tanker,
205234590,cargo_or_tanker,
205235590,cargo_or_tanker,
205236000,trawlers,trawlers
205236190,cargo_or_tanker,
205236790,cargo_or_tanker,
205237000,trawlers,
205237290,cargo_or_tanker,cargo_or_tanker
205238000,cargo_or_tanker,tug
205238190,cargo_or_tanker,
205238290,tug,
205239090,tug,
205239390,cargo_or_tanker,
205239790,cargo_or_tanker,
205240000,other_fishing,
205240290,cargo_or_tanker,
205240390,cargo_or_tanker,
205241000,trawlers,trawlers
205242590,cargo_or_tanker,
205242990,cargo_or_tanker,
205243000,trawlers,trawlers
205244290,cargo_or_tanker,
205244590,cargo_or_tanker,
205245190,cargo_or_tanker,
205245590,cargo_or_tanker,
205245890,cargo_or_tanker,cargo_or_tanker
205245990,cargo_or_tanker,cargo_or_tanker
205246000,trawlers,trawlers
205246390,cargo_or_tanker,
205247090,cargo_or_tanker,cargo_or_tanker
205247390,cargo_or_tanker,
205247700,cargo_or_tanker,
205248190,cargo_or_tanker,
205248490,cargo_or_tanker,
205248790,cargo_or_tanker,
205248890,cargo_or_tanker,
205249490,cargo_or_tanker,
205250000,cargo_or_tanker,cargo_or_tanker
205250790,passenger,
205250990,cargo_or_tanker,
205251000,tug,
205251490,tug,
205251690,cargo_or_tanker,
205252000,passenger,
205252190,cargo_or_tanker,
205252290,cargo_or_tanker,
205252390,tug,
205252690,tug,
205252790,cargo_or_tanker,
205253090,cargo_or_tanker,
205253290,cargo_or_tanker,
205253490,tug,
205253590,tug,
205254190,tug,
205254790,tug,
205254890,tug,
205255190,cargo_or_tanker,
205255590,cargo_or_tanker,
205255690,cargo_or_tanker,
205255790,cargo_or_tanker,
205256290,cargo_or_tanker,
205257290,tug,
2052573,cargo_or_tanker,
205257490,cargo_or_tanker,
205257990,cargo_or_tanker,
205258090,tug,
205258490,cargo_or_tanker,
205258590,cargo_or_tanker,
205258754,tug,
205258890,cargo_or_tanker,
205259000,tug,
205260000,trawlers,
205260490,passenger,
205260690,passenger,
205261000,trawlers,trawlers
205261490,cargo_or_tanker,
205261690,tug,
205261790,cargo_or_tanker,
205261990,cargo_or_tanker,
205262000,trawlers,
205262190,cargo_or_tanker,
205262590,cargo_or_tanker,
205263390,tug,cargo_or_tanker
205263490,cargo_or_tanker,
205263890,cargo_or_tanker,
205264290,tug,tug
205264590,cargo_or_tanker,
205264890,tug,
205265290,cargo_or_tanker,
205265490,cargo_or_tanker,
205265590,cargo_or_tanker,
205265690,cargo_or_tanker,
205265790,cargo_or_tanker,
205266290,passenger,
205266590,cargo_or_tanker,
205266690,cargo_or_tanker,
205266790,cargo_or_tanker,
205267090,cargo_or_tanker,
205267669,cargo_or_tanker,cargo_or_tanker
205267790,cargo_or_tanker,
205267890,cargo_or_tanker,
205268090,cargo_or_tanker,
205268490,cargo_or_tanker,
205268590,cargo_or_tanker,
205269190,cargo_or_tanker,
205269290,cargo_or_tanker,
205269390,cargo_or_tanker,
205270690,cargo_or_tanker,
205271390,passenger,
205271690,cargo_or_tanker,
205272090,cargo_or_tanker,
205272590,cargo_or_tanker,
205273490,cargo_or_tanker,
205273990,tug,
205274390,cargo_or_tanker,
205274790,cargo_or_tanker,
205274990,cargo_or_tanker,
205275000,trawlers,trawlers
205275190,cargo_or_tanker,
205275890,cargo_or_tanker,
205276090,tug,
205276190,cargo_or_tanker,
205276490,cargo_or_tanker,
205277000,trawlers,
205277090,cargo_or_tanker,
205277690,cargo_or_tanker,
205277990,cargo_or_tanker,
205278000,trawlers,trawlers
205278290,cargo_or_tanker,
205278690,cargo_or_tanker,
205278890,tug,
205279490,cargo_or_tanker,
205279690,cargo_or_tanker,
205279790,cargo_or_tanker,
205280090,cargo_or_tanker,
205280190,cargo_or_tanker,
205280390,cargo_or_tanker,
205280690,cargo_or_tanker,
205280890,cargo_or_tanker,
205280990,cargo_or_tanker,
205281890,cargo_or_tanker,
205282000,trawlers,
205282390,cargo_or_tanker,
205282590,cargo_or_tanker,
205283090,cargo_or_tanker,
205283290,cargo_or_tanker,
205283790,cargo_or_tanker,
205284000,trawlers,trawlers
205284690,cargo_or_tanker,
205284990,cargo_or_tanker,cargo_or_tanker
205285590,cargo_or_tanker,cargo_or_tanker
205285790,cargo_or_tanker,
20528589,cargo_or_tanker,
205285890,cargo_or_tanker,
205286190,cargo_or_tanker,
205286290,cargo_or_tanker,
205286490,cargo_or_tanker,
205286790,cargo_or_tanker,cargo_or_tanker
205287090,cargo_or_tanker,
205287390,cargo_or_tanker,
205287590,cargo_or_tanker,
205287690,cargo_or_tanker,
205288280,cargo_or_tanker,
205288290,cargo_or_tanker,
205288490,cargo_or_tanker,
205288790,cargo_or_tanker,
205288890,cargo_or_tanker,
205288990,cargo_or_tanker,
205289090,cargo_or_tanker,
205289190,cargo_or_tanker,
205289590,cargo_or_tanker,
205289790,cargo_or_tanker,
205289890,cargo_or_tanker,
205289990,cargo_or_tanker,cargo_or_tanker
205291000,trawlers,trawlers
