,mmsi,label,length,tonnage
597,368633000,Reefer,26.09,162.0
598,367176240,Reefer,38.0,215.0
599,366744930,Reefer,30.0,163.0
600,367014560,Reefer,30.0,192.0
601,366971260,Reefer,25.0,130.0
602,355357000,Reefer,69.78,973.0
603,636092595,Reefer,116.5,7687.0
604,308448000,Reefer,116.5,7687.0
605,229475000,Reefer,116.5,7687.0
606,416521000,Reefer,75.0,995.0
607,413692650,Reefer,77.02,1593.0
608,533000333,Reefer,64.85,1153.0
609,413270220,Reefer,50.0,619.0
610,416833000,Reefer,53.15,498.0
611,416788000,Reefer,104.5,2912.46
612,412694950,Reefer,82.0,1588.0
613,412692990,Reefer,66.0,
614,366971230,Reefer,22.0,
615,366888160,Reefer,22.0,
616,510021000,Reefer,60.0,
617,416171700,Reefer,70.0,
618,529608000,Reefer,82.65,1995.0
619,529069000,Reefer,83.0,1995.0
620,529758000,Reefer,78.88,1995.0
621,312413000,Reefer,78.88,1995.0
622,325700000,Reefer,78.88,1995.0
623,413447320,Reefer,79.0,1995.0
624,667003229,Reefer,83.0,1995.0
625,309716000,Reefer,156.53,10842.0
626,309075000,Reefer,156.53,10842.0
627,314012000,Reefer,156.85,10842.0
628,636016166,Reefer,156.0,10842.0
629,636090217,Reefer,156.0,10842.0
630,314011000,Reefer,156.8,10842.0
631,636090299,Reefer,156.8,10842.0
632,636016167,Reefer,156.0,10842.0
633,636090312,Reefer,156.0,10842.0
634,273354740,Reefer,133.81,6964.0
635,229428000,Reefer,122.92,6964.0
636,229382000,Reefer,122.92,6964.0
637,356517000,Reefer,125.5,6971.0
638,273330280,Reefer,133.81,6971.0
639,356986000,Reefer,133.81,6971.0
640,273354770,Reefer,133.77,6971.0
641,353585000,Reefer,133.77,6971.0
642,352055000,Reefer,133.75,6971.0
643,244542000,Reefer,103.75,3999.0
644,244542000,Reefer,103.75,3999.0
645,309361000,Reefer,109.85,3999.0
646,277099000,Reefer,112.0,3999.0
647,341353000,Reefer,107.48,3999.0
648,376311000,Reefer,107.48,3999.0
649,412946000,Reefer,86.33,2340.0
650,353828000,Reefer,86.34,2340.0
651,412899000,Reefer,86.0,2340.0
652,412208610,Reefer,86.33,2340.0
653,567008100,Reefer,80.74,2340.0
654,273895510,Reefer,54.92,683.0
655,273434600,Reefer,54.9,683.0
656,567266000,Reefer,101.93,2989.0
657,567231000,Reefer,101.93,2989.0
658,334622000,Reefer,102.0,2989.0
659,567255000,Reefer,101.94,2989.0
660,567487000,Reefer,101.94,2989.0
661,334674000,Reefer,102.0,2989.0
662,372199000,Reefer,117.31,4963.0
663,372199000,Reefer,117.31,4963.0
664,374830000,Reefer,124.0,4963.0
665,357772000,Reefer,124.0,4963.0
666,577315000,Reefer,124.0,4963.0
667,312887000,Reefer,122.85,4970.0
668,357497000,Reefer,117.31,4970.0
669,277348000,Reefer,134.01,7313.0
670,636013523,Reefer,132.0,7313.0
671,529730000,Reefer,106.0,5286.0
672,440170000,Reefer,106.0,5286.0
673,273179300,Reefer,106.0,5286.0
674,636013649,Reefer,148.52,9070.0
675,356609000,Reefer,147.0,9070.0
676,636013652,Reefer,147.0,9070.0
677,636013651,Reefer,148.0,9070.0
678,308572000,Reefer,148.8,9070.0
679,356728000,Reefer,116.33,6082.0
680,229563000,Reefer,116.0,6082.0
681,636011904,Reefer,116.0,6082.0
682,311043800,Reefer,107.5,5084.0
683,645376000,Reefer,107.52,5084.0
684,636014564,Reefer,107.52,5084.0
685,636017251,Reefer,117.27,5100.0
686,245973000,Reefer,117.28,5100.0
687,306873000,Reefer,117.0,5100.0
688,645358000,Reefer,117.0,5100.0
689,229705000,Reefer,117.27,5100.0
690,306872000,Reefer,117.27,5100.0
691,311042300,Reefer,119.37,5617.0
692,636016998,Reefer,119.55,5617.0
693,258963000,Reefer,119.55,5617.0
694,311043900,Reefer,119.55,5617.0
695,374849000,Reefer,103.73,3835.0
