mmsi,shipname,callsign,length,width,power_hp,tonnage,power
257103840,TRITON,LM8391,14.6,4.3,200.0,23.0,150.0
257104240,VIKA,LCDZ,20.97,6.4,600.0,117.0,450.0
257104340,KARIN,LK4349,,,,,
257104440,CARINA,LM2091,10.28,3.3,117.0,11.0,87.75
257104720,MOHOLMEN,LJVK,,,,,
257104940,KLOEGGA,LNAM,23.3,5.63,400.0,89.0,300.0
257105040,MS STIG INGE,LK3724,14.98,6.02,320.0,,240.0
257105340,ISBAAEN,LM8783,10.62,3.89,139.0,14.0,104.25
257105500,BLAASTAAL,LG6162,,,,,
257105540,AGNETHE,LK4723,10.1,3.4,115.0,10.0,86.25
257105640,STORDING,LK4735,14.99,5.8,450.0,24.0,337.5
257105740,LEGOEY,LK4846,14.81,5.33,360.0,25.0,270.0
257105840,ROTTFISK,LM7226,10.61,3.41,126.0,9.0,94.5
257106040,VIKSKJAER,LK3292,14.95,5.2,400.0,25.0,300.0
257106340,SUNDMANN,LM5989,10.66,4.14,131.0,18.0,98.25
257106520,BREITIND,LKBI,13.62,4.18,164.0,15.0,123.0
257106540,MARILENA MI,LK3781,19.01,5.8,400.0,84.0,300.0
257106640,AMIGO,LM7922,14.99,4.46,355.0,22.0,266.25
257107020,SEIBAS,LKIH,,,,,
257107040,TAREHAV,LK3857,,,,,
257107120,ROSKJAER,LKJE,15.7,4.69,350.0,24.0,262.5
257107240,ENGEVIK JUNIOR,LM9107,10.61,3.87,218.0,14.0,163.5
257107420,ELSY,LKJS,,,,,
257107740,VIBEKE,LM2540,10.66,4.1,156.0,12.0,117.0
257108040,ANGELSEN SENIOR,LM6975,14.98,4.53,275.0,24.0,206.25
257108240,BERGEBAS,LK3623,12.01,3.61,230.0,18.0,172.5
257108500,RUNAR F-5-G,LF5256,9.36,3.4,95.0,6.0,71.25
257108620,KASPARA F-73-LB,LK2002,7.93,2.73,45.0,,33.75
257108640,HAVUR,LM4189,16.05,4.72,370.0,24.0,277.5
257108940,SYLVIA,LM3862,10.05,3.35,225.0,8.0,168.75
257109120,STIG RUNE,LK2025,10.65,3.95,131.0,12.0,98.25
257109240,ELENA MARIE,LK2712,12.2,4.18,285.0,19.0,213.75
257109340,TROLLSUND,LK3373,10.48,3.85,152.0,15.0,114.0
257109420,STJERNEN,LK2029,10.07,3.04,155.0,10.0,116.25
257109540,ANTON JUNIOR,LM6676,10.55,3.26,115.0,7.0,86.25
257109640,VESTERBOEN,LM2819,14.95,4.79,310.0,24.0,232.5
257110040,HAVELLA,LM2606,8.82,3.14,75.0,6.0,56.25
257110120,VIKASKJAER,LK2046,10.98,3.41,109.0,8.0,81.75
257110720,TRAELBOEEN,LK2058,9.24,3.22,76.0,9.0,57.0
257110820,HTIND,LK2066,9.85,3.2,108.0,10.0,81.0
