mmsi,power,length,tonnage
257189240,127,10.55, 12
257190540,500,10.63, 
257190720,127,10.59, 15
257191020,400,14.86, 25
257191440,250,10.66, 
257192240,230,10.66, 
257193020,65,9.5, 9
257193500,450,10.67, 
257195140,250,12.2, 
257195620,145,10.57, 14
257195840,270,10.63, 
257196240,340,10.4, 
257196640,250,10.65, 20
257196940,600,12.23, 18
257197000,775,26.0, 173
257197020,72,9.25, 8
257198000,1016,37.57, 148
257198040,310,10.38, 
257198220,185,10.42, 11
257198340,152,10.6, 
257198540,390,12.99, 
257199600,82,9.6, 8
257199640,156,10.62, 
257200040,340,10.3, 6
257200220,182,12.89, 40
257200620,260,10.66, 12
257200640,575,12.23, 12
257200840,222,9.69, 
257201020,131,12.08, 12
257201640,158,10.64, 8
257201900,700,10.98, 
257201940,230,10.65, 
257202140,390,12.99, 
257202320,150,10.29, 11
257202940,218,10.65, 12
257203000,11000,71.1, 
257203020,112,10.59, 12
257204240,600,12.23, 
257205040,171,10.66, 12
257205220,75,9.25, 9
257207420,154,11.65, 15
257207920,220,12.98, 21
257208120,250,10.59, 12
257208840,375,14.03, 
257209040,116,10.54, 12
257210600,240,8.72, 
257210740,350,10.62, 10
257211340,715,10.99, 
257211840,590,12.2, 
257212340,350,10.66, 
257212500,230,8.6, 
257212720,250,12.32, 19
257213620,108,10.38, 11
257213920,238,12.1, 18
257214000,1414,37.95, 
257214140,369,10.38, 
257214320,155,10.6, 13
257214520,105,10.98, 12
257215000,630,21.15, 127
257215140,310,12.83, 
257215220,127,10.01, 9
257215240,175,10.66, 
257215640,530,14.95, 24
257215920,110,10.38, 8
257216020,310,14.98, 24
257216940,185,10.43, 12
257217940,154,10.54, 11
257218040,262,10.99, 12
257218640,340,10.3, 5
257218700,610,12.22, 12
257218940,650,10.98, 25
257219000,1650,57.65, 
257219020,250,14.21, 23
257219040,152,10.53, 11
257219840,210,9.25, 
257220140,84,9.27, 8
257220440,243,10.65, 
257220620,153,12.08, 11
257220820,195,14.12, 20
257221120,215,14.2, 21
257221640,291,14.35, 
257221740,650,10.99, 
257223620,350,14.51, 23
257224020,320,15.48, 22
257225000,1305,39.94, 
257226520,245,12.65, 14
257234000,3700,57.5, 
257236600,100,10.65, 
257237420,291,15.7, 24
257237800,400,12.98, 47
257239500,261,10.64, 
257246420,300,15.54, 24
257247000,2500,39.79, 
257247500,340,10.36, 
257250000,7242,75.0, 
257251700,230,10.65, 
257253620,210,14.11, 18
257254000,850,26.5, 250
257254920,270,15.61, 24
257258000,830,22.55, 157
257259320,275,15.61, 24
257260120,300,15.48, 25
257265320,328,14.98, 24
257269420,246,16.0, 24
257270120,68,9.6, 6
257271520,95,10.28, 8
257271600,6100,69.9, 
257272220,120,8.63, 7
257272900,500,10.99, 
257274920,110,10.96, 10
257276500,200,8.68, 7
257281500,135,9.75, 9
257281700,310,12.65, 21
257282120,120,9.97, 8
257282720,110,10.5, 12
257284000,3900,60.4, 
257285220,200,10.98, 12
257285520,291,15.45, 22
257289720,238,15.36, 24
257290420,90,9.51, 8
257292500,82,9.8, 9
257292620,345,15.25, 24
257294120,120,10.3, 8
257296820,150,10.61, 16
257298920,80,10.6, 7
257301040,400,12.98, 
257301220,115,10.38, 7
257301540,340,9.05, 
257301640,267,10.66, 
257301940,515,14.63, 
