mmsi,real_power,real_length
412412449,,30
412412451,,27
412412453,,27
412412461,,30
412412673,,31
412412984,440,44
412412796,,29
412412806,400,36
412412671,440,
412412803,300,
412412809,,37
412412721,,33
412412751,540,
412412973,450,
412412766,440,
412412777,366,34
412411523,400,
412412778,253,
412417579,,29
412418311,,40
412417682,,32
412417557,,37
412419246,,32
412418634,,35
413218178,206,35
412418587,,33
412416043,,29
412417617,,36
412418703,,29
412418705,,35
412416803,237,
412417138,,40
412417141,,40
412418408,,33
412417145,220,29
412418219,,36
412417151,,33
412417156,,33
412417161,,33
412417478,201,30
412417479,214,37
412417481,217,32
412417276,,33
412419036,,30
412417281,,30
412417288,,32
412419541,403,40
412419383,,40
412416185,210,31
412416959,226,33
412416961,,30
412416969,382,
412417304,194,
412417042,,33
412417059,217,
412418619,224,31
412418176,,20
412417968,,40
412418872,,40
412418873,,40
412417983,400,32
412416268,396,39
412416269,404,39
412416265,396,40
412416773,,32
412416292,393,40
412416303,400,35
412417159,242,
412416306,,40
412416309,,29
412416625,,31
412416629,382,36
412416647,,30
412416657,,34
412416666,,30
412416687,,32
412416859,300,34
412416864,224,31
412416885,,37
412416886,210,31
412418422,,32
412417301,,32
412417347,221,32
412417348,,31
412418848,313,34
412417375,,30
412417376,,33
412416475,,33
412416481,,35
412416488,,38
412416508,,40
412416515,396,39
412416538,,35
412416545,,40
412416553,,40
412416554,,37
412417209,396,40
412417222,,32
412419278,,37
412417236,,35
412417239,205,32
412417257,396,
412418934,,40
412417269,,40
412416532,,40
412417382,382,37
412418974,,40
412416546,279,31
412417062,,32
412417385,,30
412417387,382,39
412418909,,38
412418978,382,48
412419237,396,40
412417394,400,34
412417618,396,
412418891,397,47
412418981,,39
412418953,,38
412418645,,39
412418646,,39
412416699,,41
412417285,,35
412416697,,34
412416842,,39
412416841,,39
412417356,366,35
412416018,,34
412418787,,32
412419684,400,48
412419685,,39
412418178,,39
412419078,484,136
412417748,237,
412416765,,32
412416689,,32
412419064,229,32
412418397,,31
412417925,,40
412416313,,31
412416331,,31
412416333,,30
412419155,,31
412416308,,40
412416307,,40
412416682,,29
412417834,201,29
412416812,210,33
412418021,,29
412417532,,37
412417807,,32
412416051,,37
412417462,,32
412416645,,31
412417974,222,30
412417472,,29
412417342,269,33
412417813,,28
412418708,,35
412416301,208,
412418763,,35
412419523,,36
412418775,,35
412419529,,35
412419074,235,
412419082,260,
412417842,,31
412418102,218,33
412417189,,35
412419353,206,
412417531,,34
412418492,396,40
412416127,,37
412417259,,37
412417459,,36
412419634,,35
412417296,210,29
412417319,,32
412418717,,29
412417317,,31
412417318,,31
412416814,,37
412419345,225,31
412417091,,33
412417302,,32
412417068,,34
412417073,199,33
412417081,,31
412417082,,30
412419328,,38
412419742,,33
412416486,360,37
412416908,383,37
412416914,,32
412416921,397,40
412416937,,37
412417471,,33
412416944,,32
412416949,,32
412416952,,36
412417683,,30
412416612,,37
412417699,308,35
412417706,323,
412417707,309,34
412417564,396,40
412419099,,36
412419309,,39
412417946,324,136
412417951,369,136
412419426,235,33
412418391,,31
412416046,,32
412416047,,34
412416048,,33
412418726,440,34
412416068,396,39
412416088,,31
412416091,400,33
412416095,440,35
412416123,,33
412418383,,35
412418174,400,35
412416141,,36
412416147,,34
412416149,,33
412416151,,34
412419759,,33
412416186,352,31
412416673,,33
412413347,195,31
412413963,,40
412413939,245,41
412413973,,45
412413296,204,31
412413052,169,29
412413955,,44
412413289,198,29
412413928,,41
412413392,300,121
412413932,241,
412413381,203,125
412413375,184,118
412413377,202,134
412413799,628,138
412413539,700,125
412413579,434,125
412413387,250,131
412413344,206,35
412413307,138,
412413279,219,32
412413531,608,138
412413956,212,33
412413898,,45
412413258,252,
412413288,193,31
412413274,234,30
412413284,353,
412413255,,30
412413287,209,30
412413998,297,45
412413044,238,
412413164,215,
412413915,228,29
412413062,,37
412413156,217,30
412413002,275,
412413942,397,44
412413292,,32
412413153,192,
412413075,,28
412413093,175,29
413021377,,31
412413035,,31
