mmsi,flag_country_name,known_label,known_length,is_high_seas,crew
520243000,Fiji,drifting_longlines,40.5,True,16
416303000,Taiwan,drifting_longlines,57.78,True,35
441166000,South Korea,purse_seines,78.0933333333,False,29
440808000,South Korea,drifting_longlines,46.564,False,25
510061000,Federated States of Micronesia,purse_seines,71.585,False,30
553111736,Papua New Guinea,purse_seines,70.59,True,40
452005511,Federated States of Micronesia,purse_seines,61.88,False,21
441066000,South Korea,purse_seines,78.96,True,25
416248600,Taiwan,purse_seines,71.79,True,40
412371181,China,purse_seines,69.2766666667,True,34
510014000,Federated States of Micronesia,drifting_longlines,25.5,False,10
412500156,China,drifting_longlines,32.7,True,15
412470420,China,drifting_longlines,32.7,True,15
412460296,China,drifting_longlines,37.6,True,13
416228600,Taiwan,drifting_longlines,23.9,False,14
416003097,Taiwan,drifting_longlines,29.7,True,14
416003073,Taiwan,drifting_longlines,27.95,True,20
416003089,Taiwan,drifting_longlines,27.79,False,14
416072600,Taiwan,drifting_longlines,55.2,True,30
440778000,South Korea,drifting_longlines,48.4479166667,True,25
416232900,Taiwan,drifting_longlines,21.36,True,14
441374000,South Korea,drifting_longlines,50.49625,True,25
412463901,China,drifting_longlines,44.19,True,18
412420911,China,drifting_longlines,41.0,True,20
431500430,Japan,drifting_longlines,52.67,True,22
432411000,Japan,drifting_longlines,52.25,False,25
440636000,South Korea,drifting_longlines,50.79,True,25
412370006,China,drifting_longlines,48.48,True,28
412694520,China,drifting_longlines,27.3466666667,False,12
412691520,China,drifting_longlines,31.2333333333,True,13
520151000,Fiji,drifting_longlines,37.26,True,15
412691550,China,drifting_longlines,26.2333333333,False,12
416003741,Taiwan,drifting_longlines,33.24,False,18
416122800,Taiwan,drifting_longlines,56.3,True,30
412420436,China,drifting_longlines,40.5,True,18
431914000,Japan,pole_and_line,55.6,True,30
416247900,Taiwan,purse_seines,68.0833333333,False,40
412926000,China,purse_seines,64.7,True,30
431866000,Japan,purse_seines,60.68,True,24
365878412,United States,purse_seines,74.8025,True,25
553111736,Papua New Guinea,purse_seines,70.59,False,40
553111735,Papua New Guinea,purse_seines,71.79,True,40
553111698,Papua New Guinea,purse_seines,71.79,False,38
553111690,Papua New Guinea,purse_seines,79.5,True,39
350107000,Nicaragua,purse_seines,61.0915,True,25
735057564,Ecuador,purse_seines,86.811,True,27
416411000,Taiwan,purse_seines,72.37,True,35
412421025,China,drifting_longlines,37.0,True,15
538060019,Marshall Islands,purse_seines,71.79,False,32
538060015,Marshall Islands,purse_seines,73.7066666667,True,32
529469000,Kiribati,purse_seines,75.0633333333,True,24
412439605,China,purse_seines,64.8233333333,True,32
431500460,Japan,drifting_longlines,50.3733333333,True,20
431308000,Japan,purse_seines,60.68,True,24
431331000,Japan,purse_seines,61.845,False,23
440410000,South Korea,purse_seines,68.28,True,22
416091900,Taiwan,drifting_longlines,58.43,True,30
431882000,Japan,drifting_longlines,49.9,True,23
529004000,Kiribati,purse_seines,56.5966666667,False,24
553111756,Papua New Guinea,purse_seines,89.21,False,25
367170000,United States,purse_seines,66.8701666667,True,39
413224000,China,purse_seines,70.26,True,28
538060005,Marshall Islands,purse_seines,65.97,True,28
431155000,Japan,purse_seines,60.665,False,24
338074000,United States,purse_seines,68.79025,True,39
553111771,Papua New Guinea,purse_seines,71.79,False,40
431251000,Japan,drifting_longlines,51.9333333333,True,25
431686000,Japan,purse_seines,60.52,True,25
431100030,Japan,purse_seines,57.8,False,24
412460299,China,drifting_longlines,46.7033333333,True,26
338074000,United States,purse_seines,68.79025,False,35
553111738,Papua New Guinea,purse_seines,71.79,True,35
432971000,Japan,drifting_longlines,52.8453424658,False,24
441201728,South Korea,drifting_longlines,25.8,True,11
412283999,China,drifting_longlines,50.8,True,31
735057587,Ecuador,purse_seines,76.245,True,25
431100850,Japan,purse_seines,57.65,False,26
413340000,China,drifting_longlines,34.65,True,13
576093000,Vanuatu,drifting_longlines,23.8,False,12
416003561,Taiwan,drifting_longlines,29.4,True,15
416002596,Taiwan,drifting_longlines,29.7,True,13
416118500,Taiwan,drifting_longlines,40.0,True,25
440787000,South Korea,drifting_longlines,49.91,True,25
577322000,Vanuatu,drifting_longlines,56.716,True,25
412371198,China,drifting_longlines,47.716,True,19
538060006,Marshall Islands,purse_seines,61.85,False,28
416003561,Taiwan,drifting_longlines,29.4,False,15
431704420,Japan,drifting_longlines,48.4,False,25
412460075,China,drifting_longlines,38.15,True,18
412460073,China,drifting_longlines,38.15,True,18
416004268,Taiwan,drifting_longlines,23.1666666667,False,14
576122000,Vanuatu,drifting_longlines,23.8,False,12
576765000,Vanuatu,drifting_longlines,23.8,False,12
441600589,South Korea,drifting_longlines,48.64,True,28
412460001,China,drifting_longlines,46.88,True,27
412679210,China,drifting_longlines,56.4,True,26
576695000,Vanuatu,drifting_longlines,23.8,False,12
440705000,South Korea,drifting_longlines,50.7814285714,True,25
520083000,Fiji,drifting_longlines,29.43,False,14
520173000,Fiji,drifting_longlines,39.6,True,14
412695580,China,drifting_longlines,56.5,True,33
431602240,Japan,drifting_longlines,43.31,True,20
412679240,China,drifting_longlines,59.2,True,31
431722000,Japan,pole_and_line,58.065,True,28
412695580,China,drifting_longlines,56.5,True,30
510069000,Federated States of Micronesia,purse_seines,70.59,True,40
553111761,Papua New Guinea,purse_seines,70.59,True,40
367463000,United States,purse_seines,64.991375,True,35
553111751,Papua New Guinea,purse_seines,66.44625,True,35
735059089,Ecuador,purse_seines,77.3,False,31
510056000,Federated States of Micronesia,purse_seines,68.83,False,20
441493000,South Korea,purse_seines,74.51,True,22
412270024,China,purse_seines,70.59,True,35
412439605,China,purse_seines,64.8233333333,False,32
431866000,Japan,purse_seines,60.68,False,24
431200190,Japan,drifting_longlines,49.9,True,23
416853000,Taiwan,purse_seines,78.25,False,30
440492000,South Korea,purse_seines,78.33,True,25
440770000,South Korea,drifting_longlines,52.0658333333,True,25
416240900,Taiwan,purse_seines,71.79,False,40
368046000,United States,purse_seines,69.164125,True,35
413322770,China,drifting_longlines,36.6,True,11
431511000,Japan,purse_seines,58.7,True,26
412329403,China,drifting_longlines,42.0133333333,True,14
440575000,South Korea,purse_seines,71.4416666667,False,25
412420906,China,drifting_longlines,43.0,True,20
441201731,South Korea,drifting_longlines,25.8,True,11
576660000,Vanuatu,drifting_longlines,23.64,True,12
416123900,Taiwan,drifting_longlines,55.75,True,29
520033000,Fiji,drifting_longlines,26.0,False,12
553111740,Papua New Guinea,purse_seines,67.34625,True,31
338793000,United States,purse_seines,64.706375,True,35
440821000,South Korea,drifting_longlines,48.08,True,25
338622000,United States,purse_seines,57.878,True,25
412420851,China,drifting_longlines,43.1966666667,True,22
416003700,Taiwan,drifting_longlines,56.9,True,30
431702230,Japan,drifting_longlines,49.39,True,23
