,mmsi,shiptype,length,tonnage,length_stddev,tonnage_stddev,number_shiptypes
2050,553111743,Purse_seines,73.54,2338.0,,,1
2051,228236800,Trawlers,22.65,100.0,,,1
2052,373443000,Reefer,112.39,6420.0,0.0,0.0,1
2053,548687200,Purse_seines,56.64,1088.0,,,1
2054,416230500,Drifting_longlines,23.9,98.16,,,1
2055,416002515,Drifting_longlines,27.2,79.58,,,1
2056,227317860,Trawlers,20.05,48.66,,,1
2057,247151030,Drifting_longlines,25.15,87.0,,,1
2058,416771000,Drifting_longlines,53.2,489.0,,,1
2059,372527000,Purse_seines,59.74,1375.0,,,1
2060,238988810,Purse_seines,28.2,159.0,,,1
2061,431799000,Drifting_longlines,59.88,,0.0,300.0,1
2062,224075470,Unknown,30.0,209.0,,,1
2063,247121120,Trawlers,26.6,83.0,,,1
2064,273356760,Reefer|Drifting_longlines,94.0,2712.0,0.0,0.0,2
2065,247146970,Unknown,25.3,110.0,,,1
2066,370599000,Recreational_fishing|Reefer,,6558.0,4992.44202523,0.0,2
2067,432282000,Drifting_longlines,49.2,451.0,0.0,84.3380295348,1
2068,227146100,Purse_seines,35.95,245.0,4.22272762222,45.9689336089,1
2069,431263000,Unknown|Reefer,104.131122449,4865.0,0.482142857143,0.0,2
2070,431602220,Drifting_longlines,49.32,451.0,0.0,84.3380295348,1
2071,432228000,Drifting_longlines,49.3,440.2,0.0,82.731590877,1
2072,416891000,Drifting_longlines,48.7,464.293333333,0.0,0.44,1
2073,226169000,Purse_seines,67.3,1314.77333333,0.0,209.851148125,1
2074,440622000,Drifting_longlines,49.4925,,0.00436435780472,123.481763964,1
2075,227143900,Trawlers,23.5,144.35,,,1
2076,247142880,Unknown,29.23,133.0,,,1
2077,432706000,Research,65.24,559.0,,,1
2078,431701560,Drifting_longlines,49.39,430.6,0.0,81.2813220034,1
2079,224396270,Purse_seines,22.5,91.98,,,1
2080,440280000,Drifting_longlines,49.61,427.0,0.0,0.0,1
2081,356134000,Reefer,93.94,2754.0,,,1
2082,227513000,Set_gillnets,21.4,131.32,,,1
2083,416000592,Drifting_longlines,24.35,73.61,,,1
2084,367466000,Trollers,22.46,,0.0,19.0525588833,1
2085,256000527,Unknown,23.19,176.0,,,1
2086,441032000,Drifting_longlines|Reefer,86.33,,0.0,573.942646471,2
