mmsi,engine_power_kw,length_m,ITC Gross Tons
367767000,2387.2,63.806,1416.0
367773000,,60.7255,
367774000,895.2,25.8335,192.0
367777000,559.5,31.5675,215.0
367778000,,20.0995,
367874400,,19.9165,
368038000,4834.08,76.9515,3382.0
368046000,,63.8365,1415.0
368048000,,19.1235,
368056000,402.84,24.278,148.0
368085000,4476.0,94.55,5308.0
368158000,,42.6085,896.0
368206000,895.2,28.7005,
368213000,447.6,21.6245,
368217000,746.0,29.036,210.0
368222000,522.2,25.0405,
368272000,,73.4135,5111.0
368293000,4662.5,104.92,7419.0
368313000,410.3,25.864,
368339000,492.36,17.6595,
368371000,671.4,22.7225,177.0
368380000,1342.8,34.0075,
368388000,373.0,18.117,
368409000,1268.2,27.084,175.0
368446000,410.3,19.642,
368466000,223.8,29.402,
368470000,3580.8,52.46,
368499000,1230.9,51.8805,
368526000,,35.563,
368555000,4289.5,95.8615,4068.0
368578000,701.24,26.1995,286.0
368588000,,18.2695,
368608000,839.25,32.2385,
368609000,649.02,27.4805,226.0
368652000,261.1,20.435,
368698000,634.1,27.4805,200.0
368699000,447.6,28.3345,194.0
369174000,746.0,45.7195,662.0
369191000,134.28,12.383,
369283000,1492.0,45.628,868.0
369511000,951.15,28.487,438.0
369515000,1342.8,36.0205,316.0
369516000,634.1,26.596,251.0
369519000,447.6,20.6485,
369524000,1163.76,34.038,
369531000,1342.8,42.6085,896.0
369546000,857.9,35.136,268.0
303137000,,68.869,
366218540,373.0,23.485,
366841470,634.1,33.8855,
366939620,783.3,27.3585,
366998350,253.64,17.1715,
367059740,,19.642,
367110160,335.7,23.0885,145.0
367112420,,14.945,
367112630,335.7,16.6225,
367127080,354.35,23.973,191.0
367130870,503.55,23.485,
367133080,272.29,19.2455,
367133950,522.2,24.888,
367138530,339.43,23.485,
367174750,373.0,15.128,
367300830,272.29,21.716,
367307820,111.9,11.9255,
367334770,895.2,28.67,221.0
367338460,559.5,20.069,
367341940,298.4,13.6335,
367343760,,12.749,
367346110,634.1,25.7725,
367347420,,25.376,175.0
367363350,954.88,31.049,310.0
367409350,,26.7485,215.0
367529450,634.1,24.095,162.0
367555440,805.68,25.986,162.0
367738980,2984.0,73.9015,1957.0
1,,64.538,1809.0
36764000,,59.6275,1341.0
303426100,969.8,35.441,
303428000,1033.21,34.1905,319.0
303457000,634.1,28.0295,284.0
303636000,876.55,26.9315,258.0
303667000,,30.561,
338622000,,55.4795,1299.0
350107000,,61.0915,1518.0
366861460,404.332,28.975,164.0
366926550,402.84,24.6135,
367026970,1678.5,45.628,591.0
367032060,1275.66,33.489,553.0
367131260,474.456,24.888,
367135370,,51.8805,
367163370,746.0,50.9045,598.0
367373760,,32.1165,
367377660,2349.9,69.174,1691.0
367484550,559.5,34.1905,335.0
367487020,,37.9725,
367528000,820.6,32.1165,
367528090,,26.2605,199.0
367530330,634.1,26.0775,167.0
367551860,,18.6355,
367558650,1678.5,54.5035,848.0
367567290,2238.0,51.789,731.0
367656470,701.24,25.681,138.0
367692620,391.65,22.448,
367701930,,25.437,
367708360,,24.9185,147.0
367744170,402.84,23.485,
367745030,,22.3565,
367772272,1678.5,50.63,717.0
368037000,3730.0,85.644,3976.0
368412000,1342.8,30.134,309.0
368489000,,61.2135,
366946980,261.1,34.4345,341.0
368488000,410.3,28.853,166.0
367170270,432.68,27.4195,229.0
367147430,559.5,27.45,230.0
367618000,671.4,23.18,154.0
367545610,957.118,30.1645,282.0
368251000,5222.0,79.5745,3485.0
366804620,,19.825,
367026600,634.1,33.2145,289.0
303221000,839.25,36.112,485.0
303643000,634.1,27.511,219.0
369176000,1492.0,41.5715,
368564000,634.1,33.3365,311.0
366864000,1865.0,43.676,1004.0
367154100,634.1,26.9925,193.0
367323610,429.696,25.8335,
366173000,1119.0,33.5195,655.0
367892000,0.746,39.3145,416.0
367175590,,21.1975,
338132000,3580.8,85.4,3706.0
367452240,298.4,21.045,
367331540,1193.6,34.282,605.0
367153430,,28.7005,388.0
366727880,671.4,29.463,213.0
367171980,335.7,23.79,
367173230,,14.7315,
367466760,402.84,27.267,189.0
366927000,,73.505,2019.0
371502000,2909.4,73.505,2019.0
367084810,537.12,24.2475,143.0
367101660,477.44,23.79,
366270000,,63.8365,1415.0
367571460,484.9,17.69,
338873000,,72.468,2110.0
