mmsi,gross_tonnage,length_m,engine_power_kW
372538000,7212.0,NA,5660.0
374321000,5578.0,126.0,5193.0
374290000,9092.0,NA,5648.0
370115000,NA,134.59,7945.0
355802000,4446.0,120.7,4120.0
353242000,NA,116.59,4438.7
374445000,NA,NA,6140.0
371727000,NA,120.75,2993.0
354102000,NA,120.75,2993.0
371156000,6399.0,137.5,6325.0
357670000,6399.0,137.5,6325.0
356567000,12413.0,144.34,7597.0
351763000,NA,NA,6624.0
356962000,NA,150.3,11400.0
374407000,NA,NA,7934.0
374410000,7286.0,NA,6140.0
760000003,449.55,48.7,1298.04
760000400,1426.72,NA,NA
760000480,1742.45,58.6,6210.0
760000840,1742.45,58.6,6210.0
760124000,7765.0,108.0,2649.0
312014000,7765.0,108.0,2649.0
760121000,1584.0,64.4,6210.0
760000380,1630.0,57.8,1567.0
760119000,2016.32,67.35,3424.14
760000280,2205.0,70.6,7460.0
760125000,6231.0,125.22,5146.0
760000510,346.58,42.69,1051.86
760000511,346.58,42.69,1051.86
760000770,407.17,44.8,1198.82
760000270,415.77,46.1,1051.86
416842000,845.0,64.1,1118.0
416246500,998.0,72.62,1911.0
416029800,890.02,56.65,1343.0
416242500,998.0,74.55,1764.0
416542000,2495.0,95.2,2462.0
416639000,869.0,57.2,1343.0
416565000,894.38,64.8,1119.0
416580000,772.0,59.7,1044.0
416018900,796.52,59.3,1400.0
416861000,1376.35,70.22,2014.0
416602000,1376.35,70.22,2014.0
416238600,960.0,72.8,1640.0
416563000,888.0,54.2,1194.0
416567000,2944.0,105.03,4028.0
416545000,948.0,66.7,1617.0
416031600,945.0,66.7,1323.0
416030500,890.0,56.65,1343.0
416031800,875.0,60.75,1176.0
416031500,834.0,NA,1193.0
416562000,888.64,54.2,1194.0
577201000,3978.0,98.12,3e3
