mmsi,country
412419549,CHN
257128420,NOR
412424508,CHN
412433632,CHN
412425359,CHN
412428339,CHN
412328216,CHN
412419631,CHN
257762700,NOR
416298160,TWN
412438816,CHN
412435055,CHN
412205579,CHN
412423801,CHN
412281308,CHN
412364711,CHN
412521505,CHN
412418767,CHN
412211196,CHN
412447524,CHN
271056072,TUR
412209071,CHN
412410306,CHN
271072166,TUR
200008576,
412428146,CHN
412470139,CHN
412286789,CHN
412460488,CHN
412433622,CHN
412410027,CHN
412428051,CHN
905102998,
257166000,NOR
251498240,ISL
905115199,
367016590,USA
503318900,AUS
257358520,NOR
257156240,NOR
412283848,CHN
412438631,CHN
412450914,CHN
412449154,CHN
412433338,CHN
413032033,CHN
257176620,NOR
412447637,CHN
412444765,CHN
412002816,CHN
412200562,CHN
412422194,CHN
200008329,
412321312,CHN
271072274,TUR
800032142,
412325873,CHN
412410729,CHN
412421962,CHN
257437220,NOR
412438929,CHN
412427936,CHN
257524500,NOR
412354313,CHN
412284368,CHN
412694950,CHN
412328079,CHN
273849000,RUS
200007556,
412444735,CHN
257538600,NOR
412443940,CHN
412414713,CHN
412423571,CHN
412423364,CHN
800024572,
412422316,CHN
412418449,CHN
316002974,CAN
412428497,CHN
412324847,CHN
412422963,CHN
412441171,CHN
412330249,CHN
257157020,NOR
412416226,CHN
412286646,CHN
968741236,
412329692,CHN
800038695,
412423026,CHN
412427995,CHN
413040987,CHN
412523002,CHN
412421753,CHN
200011888,
413504960,CHN
412461669,CHN
412326756,CHN
800004662,
412447259,CHN
241007843,GRC
412428206,CHN
412330875,CHN
800033627,
413005127,CHN
412449698,CHN
219005904,DNK
257183140,NOR
412427827,CHN
247122570,ITA
700000030,
416001436,TWN
412423251,CHN
412431525,CHN
412000663,CHN
412418406,CHN
100710265,
412205001,CHN
412435737,CHN
367700380,USA
412452702,CHN
412418867,CHN
412411363,CHN
412438632,CHN
224391570,ESP
412428046,CHN
412450567,CHN
235077256,GBR
412285106,CHN
412283726,CHN
421342052,
412433586,CHN
412422007,CHN
416004956,TWN
412349011,CHN
412325882,CHN
316002916,CAN
412444151,CHN
412460713,CHN
412450671,CHN
412449411,CHN
412441869,CHN
412438908,CHN
412437196,CHN
367489280,USA
412321318,CHN
800004659,
412465209,CHN
412001568,CHN
