mmsi,eu_fishing,eu_label,eu_sublabel,eu_label2,eu_sublabel2,eu_length,eu_tonnage
250003127,Fishing vessel,Trawlers,Trawlers,,,23.99,206.0
247122240,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,17.84,29.0
247030330,Fishing vessel,Trawlers,Trawlers,,,17.68,34.0
232005890,Fishing vessel,Trawlers,Trawlers,,,26.15,135.0
261008030,Fishing vessel,Trawlers,Trawlers,Drifting longlines,Drifting longlines,18.99,39.0
261001410,Fishing vessel,Trawlers,Trawlers,,,17.29,38.0
211245680,Fishing vessel,Trawlers,Trawlers,,,20.87,65.0
235005319,Fishing vessel,Trawlers,Trawlers,,,19.96,56.0
211415000,Fishing vessel,Trawlers,Trawlers,,,19.33,48.0
211484000,Fishing vessel,Trawlers,Trawlers,,,17.09,32.0
227569380,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,9.5,10.6
224054990,Fishing vessel,Trawlers,Trawlers,,,23.0,70.27
224097970,Fishing vessel,Trawlers,Trawlers,,,31.62,291.0
224032730,Fishing vessel,Trawlers,Trawlers,,,21.54,68.75
247145470,Fishing vessel,Trawlers,Trawlers,,,20.51,54.0
224896000,Fishing vessel,Purse seines,Purse seines,,,32.5,177.0
225341000,Fishing vessel,Set gear,Set longlines,Set gear,Set gillnets,35.4,399.0
247030820,Fishing vessel,Purse seines,Purse seines,Set gear,Set longlines,18.4,39.0
219002051,Fishing vessel,Trawlers,Trawlers,Set gear,Set gillnets,14.8,30.1
239188000,Fishing vessel,Drifting longlines,Drifting longlines,Set gear,Set longlines,18.5,36.0
247280830,Fishing vessel,Purse seines,Purse seines,Fishing vessel,Fishing vessel,15.95,25.0
244742000,Fishing vessel,Trawlers,Trawlers,,,23.97,86.0
237615000,Fishing vessel,Trawlers,Trawlers,,,23.65,29.39
263414760,Fishing vessel,Trawlers,Trawlers,,,32.0,260.0
224020220,Fishing vessel,Trawlers,Trawlers,,,18.9,45.11
239233000,Fishing vessel,Drifting longlines,Drifting longlines,Set gear,Set longlines,19.3,52.0
224047990,Fishing vessel,Drifting longlines,Drifting longlines,,,28.0,236.3
239296000,Fishing vessel,Purse seines,Purse seines,,,18.7,36.0
247114040,Fishing vessel,Trawlers,Trawlers,Set gear,Set longlines,23.6,69.0
265666680,Fishing vessel,Trawlers,Trawlers,,,12.48,17.0
226198000,Fishing vessel,Trawlers,Trawlers,,,15.36,47.43
211411940,Fishing vessel,Trawlers,Trawlers,,,18.5,36.0
245795000,Fishing vessel,Trawlers,Trawlers,,,23.95,94.0
227577000,Fishing vessel,Set gear,Set gillnets,,,22.09,131.09
219014276,Fishing vessel,Trawlers,Trawlers,,,24.85,140.7
232008020,Fishing vessel,Trawlers,Trawlers,,,40.2,667.0
247144580,Fishing vessel,Trawlers,Trawlers,,,37.99,251.0
224233730,Fishing vessel,Trawlers,Trawlers,,,17.92,34.48
277510000,Fishing vessel,Trawlers,Trawlers,,,120.0,7765.0
219005776,Fishing vessel,Set gear,Set gillnets,,,12.9,11.2
245914000,Fishing vessel,Trawlers,Trawlers,,,22.72,78.0
227599000,Fishing vessel,Trawlers,Trawlers,Fishing vessel,Fishing vessel,22.0,132.8
237613000,Fishing vessel,Trawlers,Trawlers,Purse seines,Purse seines,28.28,128.0
238366440,Fishing vessel,Purse seines,Purse seines,,,23.71,118.65
210460000,Fishing vessel,Drifting longlines,Drifting longlines,,,26.5,108.0
244718000,Fishing vessel,Trawlers,Trawlers,,,40.85,317.0
237553000,Fishing vessel,Purse seines,Purse seines,Set gear,Set gillnets,16.5,19.0
224079000,Fishing vessel,Trawlers,Trawlers,,,53.85,942.2
238016640,Fishing vessel,Purse seines,Purse seines,Trawlers,Trawlers,19.47,37.51
220383000,Fishing vessel,Trawlers,Trawlers,,,16.01,43.3
266095000,Fishing vessel,Trawlers,Trawlers,,,17.94,74.0
211259270,Fishing vessel,Trawlers,Trawlers,,,14.97,34.0
235050365,Fishing vessel,Trawlers,Trawlers,,,13.4,27.66
261006940,Fishing vessel,Trawlers,Trawlers,Drifting longlines,Drifting longlines,17.37,29.0
227301110,Fishing vessel,Set gear,Pots and traps,Set gear,Set gillnets,17.0,33.0
219005867,Fishing vessel,Trawlers,Trawlers,,,13.3,27.5
235003110,Fishing vessel,Trawlers,Trawlers,,,23.71,227.0
