mmsi,reefer_fishing,reefer_label,reefer_sublabel,reefer_length,reefer_tonnage
341009000,Nonfishing vessel,Reefer,Reefer,,
341049000,Nonfishing vessel,Reefer,Reefer,,
341095000,Nonfishing vessel,Reefer,Reefer,,
341307000,Nonfishing vessel,Reefer,Reefer,,
341537000,Nonfishing vessel,Reefer,Reefer,,
341759000,Nonfishing vessel,Reefer,Reefer,,
341838000,Nonfishing vessel,Reefer,Reefer,92.23,3246.0
341844000,Nonfishing vessel,Reefer,Reefer,,
341891000,Nonfishing vessel,Reefer,Reefer,,
351219000,Nonfishing vessel,Reefer,Reefer,,
351336000,Nonfishing vessel,Reefer,Reefer,,
351350000,Nonfishing vessel,Reefer,Reefer,,
351370000,Nonfishing vessel,Reefer,Reefer,,
351478000,Nonfishing vessel,Reefer,Reefer,144.34,10135.0
351493000,Nonfishing vessel,Reefer,Reefer,,
351527000,Nonfishing vessel,Reefer,Reefer,,
351537000,Nonfishing vessel,Reefer,Reefer,91.5,2997.0
351747000,Nonfishing vessel,Reefer,Reefer,126.39,7355.0
351763000,Nonfishing vessel,Reefer,Reefer,,
351776000,Nonfishing vessel,Reefer,Reefer,,
351827000,Nonfishing vessel,Reefer,Reefer,,
352055000,Nonfishing vessel,Reefer,Reefer,,
352085000,Nonfishing vessel,Reefer,Reefer,124.7,4964.0
352135000,Nonfishing vessel,Reefer,Reefer,104.0,2910.0
352199000,Nonfishing vessel,Reefer,Reefer,120.2,4574.0
352241000,Nonfishing vessel,Reefer,Reefer,117.06,4522.0
352247000,Nonfishing vessel,Reefer,Reefer,115.0,5286.0
352313000,Nonfishing vessel,Reefer,Reefer,116.2,4288.0
352349000,Nonfishing vessel,Reefer,Reefer,125.006666667,7307.0
352351000,Nonfishing vessel,Reefer,Reefer,125.0,4808.0
352475000,Nonfishing vessel,Reefer,Reefer,120.73,4392.0
352515000,Nonfishing vessel,Reefer,Reefer,138.0,6117.0
352533000,Nonfishing vessel,Reefer,Reefer,91.03,3574.0
352545000,Nonfishing vessel,Reefer,Reefer,96.7833333333,2689.0
352610000,Nonfishing vessel,Reefer,Reefer,,
352656000,Nonfishing vessel,Reefer,Reefer,91.5266666667,3683.0
352715000,Nonfishing vessel,Reefer,Reefer,128.02,4980.0
352784000,Nonfishing vessel,Reefer,Reefer,125.03,7307.0
352785000,Nonfishing vessel,Reefer,Reefer,,
352796000,Nonfishing vessel,Reefer,Reefer,94.97,3475.0
352844000,Nonfishing vessel,Reefer,Reefer,92.21,3264.0
352894000,Nonfishing vessel,Reefer,Reefer,114.846,4499.0
353019000,Nonfishing vessel,Reefer,Reefer,102.806666667,4109.0
353185000,Nonfishing vessel,Reefer,Reefer,114.82,4177.0
353211424,Nonfishing vessel,Reefer,Reefer,,
353242000,Nonfishing vessel,Reefer,Reefer,121.833333333,5757.0
353306000,Nonfishing vessel,Reefer,Reefer,127.38,7367.0
353318000,Nonfishing vessel,Reefer,Reefer,82.82,2436.0
353828000,Nonfishing vessel,Reefer,Reefer,86.33,2340.0
353901000,Nonfishing vessel,Reefer,Reefer,,
353937000,Nonfishing vessel,Reefer,Reefer,92.21,3260.0
353981000,Nonfishing vessel,Reefer,Reefer,143.3,9997.0
354036000,Nonfishing vessel,Reefer,Reefer,94.5,3649.0
354062000,Nonfishing vessel,Reefer,Reefer,,
354240000,Nonfishing vessel,Reefer,Reefer,142.433333333,10629.0
354461000,Nonfishing vessel,Reefer,Reefer,,
354464000,Nonfishing vessel,Reefer,Reefer,,
354469000,Nonfishing vessel,Reefer,Reefer,124.7,4939.0
354493000,Nonfishing vessel,Reefer,Reefer,120.75,4457.0
354569000,Nonfishing vessel,Reefer,Reefer,,
354617000,Nonfishing vessel,Reefer,Reefer,,
354655000,Nonfishing vessel,Reefer,Reefer,61.33,1176.0
354670000,Nonfishing vessel,Reefer,Reefer,79.77,2047.0
354683000,Nonfishing vessel,Reefer,Reefer,83.76,2581.0
354716000,Nonfishing vessel,Reefer,Reefer,124.7,4936.0
354831000,Nonfishing vessel,Reefer,Reefer,,
354871000,Nonfishing vessel,Reefer,Reefer,133.59,8487.0
354874000,Nonfishing vessel,Reefer,Reefer,85.83,2856.0
355116000,Nonfishing vessel,Reefer,Reefer,94.0,2692.0
355141000,Nonfishing vessel,Reefer,Reefer,93.88,2829.0
355199000,Nonfishing vessel,Reefer,Reefer,100.72,3767.0
355295000,Nonfishing vessel,Reefer,Reefer,,
355317000,Nonfishing vessel,Reefer,Reefer,79.83,2113.0
355513000,Nonfishing vessel,Reefer,Reefer,110.22,5024.0
355643000,Nonfishing vessel,Reefer,Reefer,125.67,5321.0
355665576,Nonfishing vessel,Reefer,Reefer,,
355720000,Nonfishing vessel,Reefer,Reefer,,6545.0
355802000,Nonfishing vessel,Reefer,Reefer,117.02,4446.0
355813000,Nonfishing vessel,Reefer,Reefer,98.53,3065.0
355855000,Nonfishing vessel,Reefer,Reefer,96.45,2695.0
355874000,Nonfishing vessel,Reefer,Reefer,95.305,3520.0
355894000,Nonfishing vessel,Reefer,Reefer,94.71,2689.0
355966000,Nonfishing vessel,Reefer,Reefer,120.75,4458.0
356065000,Nonfishing vessel,Reefer,Reefer,88.0075,2592.25
356386000,Nonfishing vessel,Reefer,Reefer,120.7,4444.0
356407000,Nonfishing vessel,Reefer,Reefer,120.75,4522.0
356514000,Nonfishing vessel,Reefer,Reefer,134.035,7800.0
356517000,Nonfishing vessel,Reefer,Reefer,123.993333333,6971.0
356567000,Nonfishing vessel,Reefer,Reefer,144.34,12413.0
356591000,Nonfishing vessel,Reefer,Reefer,118.655,4177.0
356609000,Nonfishing vessel,Reefer,Reefer,140.0,9070.0
356616000,Nonfishing vessel,Reefer,Reefer,146.02,6557.0
356636000,Nonfishing vessel,Reefer,Reefer,,
356655000,Nonfishing vessel,Reefer,Reefer,117.0,5110.0
356728000,Nonfishing vessel,Reefer,Reefer,116.33,6082.0
356878000,Nonfishing vessel,Reefer,Reefer,,
356889000,Nonfishing vessel,Reefer,Reefer,97.04,3767.0
356962000,Nonfishing vessel,Reefer,Reefer,138.5,10629.0
357020000,Nonfishing vessel,Reefer,Reefer,100.98,4361.0
357058000,Nonfishing vessel,Reefer,Reefer,120.75,4513.0
357203000,Nonfishing vessel,Reefer,Reefer,75.0,1463.0
357497000,Nonfishing vessel,Reefer,Reefer,117.31,4970.0
357600000,Nonfishing vessel,Reefer,Reefer,,
357611000,Nonfishing vessel,Reefer,Reefer,,
357642000,Nonfishing vessel,Reefer,Reefer,,
357670000,Nonfishing vessel,Reefer,Reefer,129.196666667,6399.0
357735000,Nonfishing vessel,Reefer,Reefer,127.38,7367.0
357788000,Nonfishing vessel,Reefer,Reefer,78.72,1890.0
357805000,Nonfishing vessel,Reefer,Reefer,147.465,12383.0
370032000,Nonfishing vessel,Reefer,Reefer,,
370070000,Nonfishing vessel,Reefer,Reefer,110.69,5131.0
370095000,Nonfishing vessel,Reefer,Reefer,,
370115000,Nonfishing vessel,Reefer,Reefer,125.0,7303.0
370305000,Nonfishing vessel,Reefer,Reefer,,
370599000,Nonfishing vessel,Reefer,Reefer,130.98,6558.0
370866000,Nonfishing vessel,Reefer,Reefer,83.13,2339.0
370981000,Nonfishing vessel,Reefer,Reefer,81.625,2946.0
371100000,Nonfishing vessel,Reefer,Reefer,82.82,2436.0
371118580,Nonfishing vessel,Reefer,Reefer,,
371156000,Nonfishing vessel,Reefer,Reefer,129.196666667,6399.0
371210000,Nonfishing vessel,Reefer,Reefer,144.35,12383.0
371295000,Nonfishing vessel,Reefer,Reefer,,
371301000,Nonfishing vessel,Reefer,Reefer,125.67,5307.0
371322000,Nonfishing vessel,Reefer,Reefer,99.98,3503.0
371335000,Nonfishing vessel,Reefer,Reefer,138.38,6268.0
371542000,Nonfishing vessel,Reefer,Reefer,,
371717000,Nonfishing vessel,Reefer,Reefer,,
371719000,Nonfishing vessel,Reefer,Reefer,,
371790000,Nonfishing vessel,Reefer,Reefer,104.47,4202.0
371812000,Nonfishing vessel,Reefer,Reefer,140.44,9072.0
372199000,Nonfishing vessel,Reefer,Reefer,117.31,4963.0
372538000,Nonfishing vessel,Reefer,Reefer,,
372594000,Nonfishing vessel,Reefer,Reefer,104.99,4364.0
372825000,Nonfishing vessel,Reefer,Reefer,103.73,3835.0
372886000,Nonfishing vessel,Reefer,Reefer,,
372910000,Nonfishing vessel,Reefer,Reefer,110.2,4986.0
373039000,Nonfishing vessel,Reefer,Reefer,,
373056000,Nonfishing vessel,Reefer,Reefer,117.31,4988.0
373443000,Nonfishing vessel,Reefer,Reefer,112.39,6420.0
373731000,Nonfishing vessel,Reefer,Reefer,117.31,4988.0
373837000,Nonfishing vessel,Reefer,Reefer,,
373962000,Nonfishing vessel,Reefer,Reefer,,
