mmsi,shipname,callsign,length,width,power,tonnage
257055040,SKJAANES F-38-G,LK6370,12.13,4.06,250,25
257056040,KLAEVTIND,LJKH,18.05,5.8,461,87
257056140,AADNE F-85-G,LM9748,9.35,3.1,62,7
257056340,GRIPAR,LK6518,12.65,3.58,152,20
257056440,ANNA CHRISTINE,LK6326,12.94,4.65,250,21
257056600,FROEYANES,3YXV,60.0,14.0,4158,NA
257056720,LINNI,LF2636,9.76,3.45,72,9
257057040,HAVORNA,LK6531,14.96,5.44,480,25
257057240,EVITOR,LK6516,10.29,4.1,300,11
257057440,TROLLFJELD,LK6514,13.26,3.94,250,18
257057840,KALLEGUTT F-34-TN,LK6526,10.4,3.2,305,12
257058040,KARIANNE,LK6529,14.96,5.51,450,25
257058340,ARGO JUNIOR,LK6569,14.17,4.45,245,23
257058940,FJORDBAS,LK2782,12.38,4.15,210,19
257059040,NORDFJELL,LM3298,10.4,3.51,170,7
257059240,BJORNES,LK 4798,NA,NA,NA,NA
257059340,BOGASKJAER,LK6543,14.98,5.03,340,24
257059940,PERAGUTT,LK6590,10.66,3.59,152,12
257060440,RAMONA,LK6606,12.13,3.92,290,18
257061020,LINHAV,LF2705,NA,NA,NA,NA
257061440,NJAAGUTT,LK6604,10.55,2.98,318,6
257061640,VAEROEYGUTT,LK6598,12.97,4.49,250,21
257062140,UDVAAR,LK6597,10.54,4.45,250,12
257062640,ASTRID,LK9918,9.6,3.1,340,NA
257062840,DJUPASKJAER,LK3631,10.6,3.8,154,12
257062940,ANN-KATHRIN,LK6613,10.65,3.6,160,12
257063040,ANDREAS,LK6486,10.42,3.4,300,10
257064040,KVALOEYSKJAER,LK6394,12.09,3.88,285,18
257064900,ELINA,LG5739,10.99,4.06,610,NA
257065140,POLARVIND,LK6698,NA,NA,NA,NA
257065240,KRABBEN,LK 6636,NA,NA,NA,NA
257065440,SARAH,LF3542,10.01,3.2,116,10
257065600,SJOKVISTEN,LG5725,10.96,3.42,369,NA
257065620,BUSEN,LF2768,NA,NA,NA,NA
257066540,EGGLAND,LK5711,10.57,3.86,152,12
257066740,NONSTIND,LK6688,12.1,3.94,250,18
257066940,VAAGHAV,LK6692,14.94,5.61,461,25
257067040,HAFDIS,LG2881,10.93,4.61,700,NA
257067740,KIM-ANDRE,LF3563,NA,NA,NA,NA
257068140,HAUGSTAD,LK6702,14.82,5.41,373,25
257068740,LANGOYSUND,LK5874,10.6,3.6,152,12
257069440,ARGUS,LK 6712,NA,NA,NA,NA
257069740,HAVLEIK,LK6764,10.65,3.6,152,12
257069840,MAXIMUS,LK5607,NA,NA,NA,NA
257070640,BALDER,LK3549,10.01,3.18,127,7
257070940,FREKOY,LK6805,11.47,3.6,175,15
257071040,SLETTHAV,LK6804,10.55,3.39,175,11
257071140,HAVBRIS,LK 6798,NA,NA,NA,NA
257071340,RAGNHILD KRISTINE,LK6829,14.95,5.33,315,24
257071440,ORION,LK6828,10.66,3.51,175,10
257071540,HAVBRIS,LK6833,14.95,4.6,250,31
257071640,FROYFISK,LLAQ,NA,NA,NA,NA
257072440,SPRATTUS,LDFW,20.45,5.85,365,49
257072540,BUNES,LK 6844,NA,NA,NA,NA
257072740,LOFOTVAERING,LK6532,10.65,4.0,127,12
257072840,SKARNER,LK6861,10.66,3.64,154,12
257073620,REVEN,LF2875,10.6,3.86,115,14
257074140,MARLOV SENIOR,LK6889,14.36,4.5,291,24
257074540,LENE K,LK6838,14.86,5.54,380,25
257074640,EROS,LK6795,14.98,5.6,370,25
257074740,EMMA-V,LK 6907,NA,NA,NA,NA
257075240,HUGNAD,LM6156,8.93,2.96,30,6
257075340,NYGRUNN,LK6864,12.24,4.56,250,19
257075540,PORSANGVAERING,LK6916,10.55,3.4,154,10
257076240,MERETHE,LK6931,12.72,4.51,250,20
257076840,FANGST,LK6971,14.95,5.52,400,25
257077240,HYDRA,LK6978,12.95,4.61,291,20
257077440,ROSTJENTA,LK6977,14.97,5.33,360,25
257078140,ATHENA,LK6672,10.56,4.5,370,51
257078240,VIKSTJERNA,LK6970,12.99,4.07,291,21
257079000,NESEJENTA,3YWO,32.55,9.0,990,NA
257079040,ALEXANDRA,LK7097,10.59,3.73,115,12
257079240,BASNES,LK7577,10.15,3.1,222,NA
257079740,STROEMOEY,LK7066,10.66,3.64,175,12
257079840,VESLEMOEY,LK6901,10.65,3.6,175,12
257080140,GAUTEGUTT,LM 6045,NA,NA,NA,NA
257080240,ROSTVAER,LK6689,10.01,2.99,110,8
257080640,FLO V20TM,LK7025,12.51,4.41,250,20
257081240,MELOYSUND JR,LK7043,12.95,5.46,400,21
257082340,TUSSBOEN,LK5649,10.55,3.46,152,11
257082600,OLE MARTIN,LK7480,NA,NA,NA,NA
257082720,BOERFJELL,LK5532,11.88,3.47,300,17
257082840,EVA,LK7155,10.5,2.95,320,12
257082940,DAG VIGGO,LK7130,12.98,4.3,355,14
257083040,BALLSTADGUTT JR,LK7118,10.66,3.59,154,15
257083240,CINITA,LG2609,8.9,3.05,251,NA
257084040,SJOHAV,LLGI,21.3,7.2,720,162
257084140,BARSTEIN,LK7148,14.94,5.49,410,25
257084240,OEYFJORD,LM2813,10.4,3.3,80,11
257084340,HAVELLA,LK7085,10.51,3.62,155,12
257084540,SIGLEVIK,LK7152,11.35,3.45,182,14
257084820,VICTHOR,LK4868,10.65,3.96,160,18
257084900,KLAR-SELIN,LM5807,10.58,3.42,110,8
257084940,SIVA,LF3704,8.62,2.85,80,6
257085340,AUKNES,LK7260,8.96,3.28,202,NA
257085540,STRAUMVAERING,LK7145,14.92,5.45,411,NA
257085840,SAFIR,LK7199,14.95,5.46,400,24
257085900,HEMMINGODDEN JR,LK 5953,NA,NA,NA,NA
257086140,TON]E,LM6262,10.64,3.41,112,10
257086540,AAROE,LK6725,10.65,4.3,250,12
257086840,SEGLVIK,LK7217,10.54,3.39,154,12
257086940,STORBOEN,LK6385,10.2,3.46,100,12
257087040,TONNY MARIE,LK7149,14.96,5.8,461,NA
257087840,NARGTIND,LG2280,9.98,3.3,340,NA
257088140,HAUGHEI,LK 7187,NA,NA,NA,NA
257088340,VARANGERGUTT,LM6259,10.36,3.41,230,12
257088540,BUROEY,LK5083,10.6,4.1,190,12
257089000,KREMMERVIK,3YMI,42.9,12.0,1800,NA
257089040,SJOELEIK,LM2987,9.97,2.98,70,10
257089640,ROSTAD,LK7188,14.85,5.28,354,NA
257089740,BRATTHOLM,LK7238,12.78,4.52,360,24
257090340,NYMORE,LK7267,11.4,3.63,175,NA
257091140,ELSE-K,LK7325,12.9,4.5,473,NA
257091840,METHO,LK7274,14.99,5.82,410,NA
257092540,A. JENSEN,LK7381,14.99,5.8,403,NA
257092640,ELDORADO,LK7369,12.06,3.46,175,NA
257093440,VALAJENTA,LM7000,12.83,3.96,175,17
257093740,ELVIRA,LK7461,10.66,4.64,250,NA
257093900,IMAGINE F-6-LB,LG3209,8.05,2.7,200,4
257093940,AERFUGLEN,LK7509,8.43,2.8,78,NA
257094940,VAAGAVIK,LK7227,12.9,4.02,250,21
257095340,JIM HAAVARD,LM5752,10.11,3.38,106,9
257095540,KIM ROGER 1,LK7332,14.88,5.35,400,NA
257095640,HAVMANN,LK7417,14.16,3.93,291,NA
257095900,KEILA,LK5378,10.65,2.96,159,12
257096140,FLIPPER,LK 7442,NA,NA,NA,NA
257096440,TOMMI-MARI,LK7451,12.0,4.16,243,NA
257096540,BJOERNSTEIN,LF3790,10.25,3.3,230,11
257096700,MICHELLE,LM8126,10.58,3.06,155,12
257096800,SOLEAY,LG6015,10.65,3.8,300,NA
257097440,JOHN SENIOR,LK7465,12.2,3.65,175,NA
257097820,VIKEN II,LF3192,9.45,3.05,110,8
257097840,KARL WOLMAR,LK7330,10.66,3.65,154,NA
257098140,FREIDIG,LM7915,9.65,3.45,154,12
257098320,KARL VIKTOR,LGCA,19.48,5.27,650,59
257098540,LINDISFARNE,LK 7521,NA,NA,NA,NA
257098620,NORFOLK,LGMG,NA,NA,NA,NA
257098740,SVAAHOLM,LK4498,13.98,5.05,400,23
257099140,NESHEIM,LK7489,12.88,4.52,250,NA
257099240,MARJELLA,LK7430,10.65,3.6,145,NA
257099340,MEHOLM,LK4657,10.66,3.8,250,25
257099900,SCALLOP,LF5244,NA,NA,NA,NA
257100320,JAN BORRE,LHCV,NA,NA,NA,NA
257100440,ANN SOFIE,LG3690,10.98,3.74,580,NA
257100540,ARSBUEN,LG3540,NA,NA,NA,NA
257100600,HAUGEFISK,LG6163,10.63,3.49,380,NA
257100640,FLATVAER,LG3625,10.39,3.2,500,10
257100740,HUSOEY,LG3685,12.97,5.02,390,24
257100840,SOLAGUTT,LG3782,9.1,3.9,160,NA
257100940,GUNNAR EGIL,LG3346,9.99,3.36,369,NA
257101030,BJOERNSVIK,LJON,19.38,5.46,367,84
257101120,NYTIND,LHNN,18.29,5.12,335,34
257101440,MIDSUND,LM4907,14.16,4.37,316,23
257101640,NYBOEN,LK2660,12.2,4.18,190,18
257101740,STROMOYGUTT,LM9153,15.7,4.7,400,24
257101900,SILVA,LG6097,9.99,3.42,340,NA
257101940,NINA MARI,LK2034,14.98,5.4,380,24
257102340,MARITHA,LM2191,9.02,3.23,59,7
257102440,VESTHAV,LM8525,10.35,3.3,135,12
257102540,JOHAN P,LM7498,14.12,4.65,230,24
257102640,VIGRUNN,LK3242,14.02,4.2,250,23
257102840,SJOHESTEN,LCZY,NA,NA,NA,NA
257102940,HARENGUS,LM8834,12.98,3.96,246,17
257103140,OYSKJAER,LK3482,14.98,4.91,525,23
257103840,TRITON,LM8391,14.6,4.3,200,23
257104240,VIKA,LCDZ,20.97,6.4,600,117
257104340,KARIN,LK4349,NA,NA,NA,NA
257104440,CARINA,LM2091,10.28,3.3,117,11
257104720,MOHOLMEN,LJVK,NA,NA,NA,NA
257104940,KLOEGGA,LNAM,23.3,5.63,400,89
257105040,MS STIG INGE,LK3724,14.98,6.02,320,NA
257105340,ISBAAEN,LM8783,10.62,3.89,139,14
257105500,BLAASTAAL,LG6162,NA,NA,NA,NA
257105540,AGNETHE,LK4723,10.1,3.4,115,10
257105640,STORDING,LK4735,14.99,5.8,450,24
257105740,LEGOEY,LK4846,14.81,5.33,360,25
257105840,ROTTFISK,LM7226,10.61,3.41,126,9
257106040,VIKSKJAER,LK3292,14.95,5.2,400,25
257106340,SUNDMANN,LM5989,10.66,4.14,131,18
257106520,BREITIND,LKBI,13.62,4.18,164,15
257106540,MARILENA MI,LK3781,19.01,5.8,400,84
257106640,AMIGO,LM7922,14.99,4.46,355,22
257107020,SEIBAS,LKIH,NA,NA,NA,NA
257107040,TAREHAV,LK3857,NA,NA,NA,NA
257107120,ROSKJAER,LKJE,15.7,4.69,350,24
257107240,ENGEVIK JUNIOR,LM9107,10.61,3.87,218,14
257107420,ELSY,LKJS,NA,NA,NA,NA
