mmsi,clav_TUVI,rfmo_id,length,tonnage,power
224173000,8025,14925,30.0,267.0,604.0
204862000,192,14394,37.7,319.0,740.0
416000699,1297,14631,22.15,59.0,480.0
440636000,262,8197,49.91,414.0,1200.0
431700130,350,4499,49.9,424.0,986.0
431316000,622,4157,52.6,499.0,NA
431853000,148,4919,56.05,499.0,999.0
224052370,1472,8821,30.0,148.0,NA
366993790,3917,13227,22.3,134.0,500.0
416349000,1085,8725,58.8,660.0,1500.0
224342000,2061,6435,43.5,692.0,726.0
412460043,1088,14424,49.68,493.0,1300.0
440787000,172,8121,49.91,423.0,1200.0
224049530,842,14949,27.85,198.0,560.0
352241000,23970,14345,120.8,4522.0,4069.0
356065000,28530,140,88.94,2596.0,NA
224197150,7985,14920,29.3,238.0,535.0
416120600,718,8739,56.0,530.0,1500.0
416099800,184,12119,56.96,707.0,1400.0
431602620,1329,4609,49.9,409.0,NA
636014471,37636,15979,152.14,12413.0,10480.0
224407000,1473,8827,27.3,192.0,416.0
431457000,761,4681,50.97,439.0,NA
224452000,8138,14934,29.0,236.0,335.0
636092595,37647,15972,116.5,7687.0,6119.0
440801000,1177,8345,47.24,378.0,1200.0
636011004,38068,15973,126.0,6082.0,8641.0
431490000,662,4857,49.2,390.0,NA
412420892,24847,15589,43.2,496.0,1400.0
224188000,1701,13565,28.0,115.0,357.0
775616000,4722,3394,78.14,1640.0,2685.0
431702510,629,12019,31.42,147.0,400.0
366979610,27161,12715,21.9,111.0,500.0
416001255,737,14618,26.15,96.0,750.0
432370000,15685,12099,50.25,459.0,NA
577145000,615,5473,53.61,617.0,1e3
774559424,4765,3751,53.34,1129.0,NA
316006847,21440,14752,12.09,15.0,130.0
441600589,708,7145,48.64,657.0,NA
224256000,88,8773,44.0,589.0,NA
316005485,21383,14773,15.37,21.0,320.0
412460285,24538,15550,38.85,302.0,1150.0
367162190,26294,15737,26.15,211.0,1200.0
366933360,4440,14459,15.12,72.0,410.0
225374000,196,14953,42.5,490.0,740.0
224261000,95,6369,31.0,232.0,675.0
416368000,6787,14963,59.2,627.0,1600.0
367138310,4508,14534,18.25,75.0,450.0
735057523,4781,3856,56.08,883.0,3600.0
224721000,1719,6383,49.0,650.0,1402.0
