mmsi,primary_geartype,secondary_geartype
219007544,Trawlers,Set gillnets
207828530,Set gillnets,Trawlers
224440790,Set longlines,Pots and traps
227322270,Trawlers,Set gillnets
240107000,Trawlers,Purse seines
227681710,Trawlers,Set gillnets
247140320,Purse seines,Set longlines
247185500,Trawlers,Purse seines
247101020,Trawlers,Purse seines
247110190,Purse seines,Trawlers
247094310,Trawlers,Purse seines
247147780,Trawlers,Purse seines
238197240,Trawlers,Pole and line
219009274,Trawlers,Set gillnets
240406000,Set longlines,Set gillnets
220327000,Trawlers,Set gillnets
237312000,Trawlers,Purse seines
219016474,Set gillnets,Trawlers
227320310,Set gillnets,Pots and traps
261006880,Trawlers,Drifting longlines
247151690,Trawlers,Set longlines
239583300,Set longlines,Drifting longlines
247100410,Purse seines,Trawlers
247140840,Trawlers,Set longlines
247152310,Trawlers,Set longlines
224017450,Set longlines,Pots and traps
247121540,Trawlers,Set longlines
247303390,Trawlers,Set longlines
245287000,Set gillnets,Pots and traps
219002368,Trawlers,Fishing vessel
235074868,Trawlers,Pots and traps
237435000,Purse seines,Set longlines
240910000,Purse seines,Set gillnets
204274000,Set gillnets,Set longlines
227316520,Pots and traps,Set gillnets
265612240,Trawlers,Fishing vessel
263420690,Set gillnets,Pots and traps
227647080,Set gillnets,Pots and traps
266424000,Trawlers,Set longlines
227894000,Set gillnets,Set longlines
247146770,Trawlers,Set longlines
247302510,Trawlers,Purse seines
218442000,Trawlers,Set gillnets
219013485,Trawlers,Fishing vessel
250000608,Set gillnets,Trawlers
247133630,Set gillnets,Trollers
224082580,Set longlines,Pots and traps
238967810,Trawlers,Set longlines
237299800,Purse seines,Set gillnets
238900840,Purse seines,Trawlers
227597000,Set gillnets,Set longlines
250002601,Pots and traps,Pole and line
261004380,Trawlers,Set gillnets
224094870,Set longlines,Pots and traps
244646000,Trawlers,Pots and traps
266440000,Purse seines,Trawlers
247120710,Trawlers,Purse seines
219015617,Trawlers,Set gillnets
265737870,Set gillnets,Pole and line
247149860,Purse seines,Set longlines
238308040,Purse seines,Set longlines
240802000,Trawlers,Purse seines
219006236,Set gillnets,Set longlines
207822660,Trawlers,Set gillnets
247084010,Trawlers,Set longlines
250003406,Trawlers,Unknown gear
219001553,Set gillnets,Trawlers
224069130,Set longlines,Set gillnets
247132480,Trawlers,Purse seines
238420640,Purse seines,Set gillnets
207426000,Trawlers,Drifting longlines
240397000,Set longlines,Set gillnets
219011179,Set gillnets,Set longlines
247149630,Trawlers,Set longlines
237880000,Trawlers,Purse seines
247085680,Trawlers,Set longlines
275444000,Pots and traps,Unknown gear
247083410,Trawlers,Purse seines
247145790,Trawlers,Purse seines
211523500,Set gillnets,Set longlines
247142510,Trawlers,Set longlines
247145120,Trawlers,Purse seines
246233000,Fishing vessel,Trawlers
247093040,Trawlers,Purse seines
237445000,Trawlers,Set gillnets
237148900,Fishing vessel,Purse seines
247123740,Trawlers,Set gillnets
247100770,Purse seines,Trawlers
237292000,Trawlers,Purse seines
237814000,Trawlers,Purse seines
247100420,Trawlers,Set longlines
250000216,Trawlers,Set gillnets
237349000,Trawlers,Purse seines
240404000,Set gillnets,Drifting longlines
219013756,Fishing vessel,Set gillnets
247144660,Trawlers,Purse seines
247144890,Purse seines,Set longlines
237027000,Trawlers,Purse seines
219005847,Set gillnets,Trawlers
212101000,Drifting longlines,Set longlines
247052530,Trawlers,Set gillnets
227820000,Pots and traps,Trawlers
247141660,Purse seines,Set longlines
227594760,Set gillnets,Pots and traps
263551000,Set longlines,Drifting longlines
247050830,Trawlers,Set longlines
247101270,Trawlers,Purse seines
247102810,Trawlers,Purse seines
224690000,Set longlines,Set gillnets
247220050,Purse seines,Set longlines
247145080,Trawlers,Set longlines
247120560,Trawlers,Purse seines
247044980,Trawlers,Set longlines
219004203,Set gillnets,Trawlers
247300940,Trawlers,Purse seines
227904000,Pots and traps,Set gillnets
244810050,Pole and line,Set longlines
247301120,Purse seines,Set longlines
265671520,Fishing vessel,Set gillnets
204233000,Set longlines,Drifting longlines
224980000,Set longlines,Set gillnets
240250000,Trawlers,Purse seines
247120950,Trawlers,Purse seines
247149410,Trawlers,Purse seines
