,lat_bin,lon_bin,f0_
430,3,-180,746.944305556
431,31,173,1154.72486111
432,-43,-58,9708.07
433,-13,-77,839.148611111
434,-21,-105,133.408333333
435,49,-126,592.808611111
436,74,25,2989.37041667
437,2,-27,81.1811111111
438,54,3,1100.39305556
439,37,-1,38208.0809722
440,70,26,6270.78763889
441,70,16,1058.34097222
442,58,8,9313.1375
443,23,161,119.719166667
444,42,133,1490.57083333
445,44,-8,14293.0845833
446,55,-5,17066.52375
447,71,17,2363.73083333
448,-1,-129,11.4477777778
449,38,-27,1203.25944444
450,36,-7,122612.465694
451,-26,32,542.510277778
452,74,38,1412.82472222
453,-10,-134,873.523611111
454,-24,-38,431.503194444
455,3,-133,304.633194444
456,35,142,429.867222222
457,-22,102,97.2819444444
458,-5,-136,263.000138889
459,-21,163,1621.59111111
460,7,-27,740.458194444
461,-11,134,452.798194444
462,16,-29,548.632361111
463,-8,-126,794.719583333
464,3,-140,230.431805556
465,48,-8,15094.0177778
466,3,-155,292.578333333
467,-1,162,725.298055556
468,-29,-122,103.959722222
469,-15,-132,788.388888889
470,-18,-102,254.005972222
471,-12,-106,111.616111111
472,-5,-168,788.106666667
473,2,179,643.313611111
474,17,-25,639.337222222
475,-51,12,32.2963888889
476,-32,42,539.285138889
477,57,-152,5626.95152778
478,12,-41,5.57736111111
479,-41,-48,152.35875
480,23,-178,0.891666666667
481,-7,55,818.816111111
482,-44,-76,728.739305556
483,-47,49,597.909583333
484,66,6,1639.60222222
485,-17,-105,158.158055556
486,-11,148,120.778194444
487,29,-28,56.0836111111
488,33,-143,12.1086111111
489,9,-77,481.933888889
490,-14,-105,138.643333333
491,-13,146,141.349722222
492,13,150,2231.23611111
493,37,16,2521.42597222
494,17,150,828.685
495,-26,58,294.034583333
496,21,-22,392.052222222
497,38,-56,137.30875
498,13,-25,316.947777778
499,-3,9,350.095972222
500,19,-116,21.5498611111
501,20,140,659.813611111
502,18,-116,98.7702777778
503,-32,85,54.4565277778
504,18,-148,2.84597222222
505,-24,-18,64.6522222222
506,30,149,193.824722222
507,7,-31,267.204444444
508,30,-157,134.642638889
509,41,-25,1864.27805556
510,-5,-114,7.52208333333
511,-27,15,84.1255555556
512,2,54,154.454722222
513,-28,67,141.8075
514,-42,-163,6.88125
515,-4,-26,643.980694444
516,-3,-143,129.161805556
517,-34,51,778.021805556
518,-2,88,108.73
519,-27,95,52.9527777778
520,-8,-171,564.71625
521,28,170,159.556944444
522,-88,111,22.3747222222
523,-42,145,2.64944444444
524,51,151,278.548333333
525,-36,151,234.50625
526,56,-21,177.332361111
527,-11,59,736.870138889
528,18,-94,34.1543055556
529,36,-39,773.61375
530,11,-61,59.215
531,10,71,50.7476388889
532,-13,-96,230.360416667
533,8,-122,33.0688888889
534,-38,172,9.00416666667
535,-36,17,118.304722222
536,-20,-173,238.352222222
537,-12,135,36.91125
538,39,-37,566.999861111
539,62,-39,20.7909722222
540,-25,-117,22.4631944444
541,-22,-34,143.66125
542,50,-52,26.4794444444
543,43,-24,196.057777778
544,14,130,81.5144444444
545,4,53,24.0598611111
546,-3,69,251.439583333
547,-53,75,274.184861111
548,-28,71,50.0416666667
549,19,155,448.428333333
550,43,137,1.94041666667
551,-19,-27,6.14861111111
552,12,-104,42.8906944444
553,72,40,12.3044444444
554,31,-142,17.5068055556
555,16,128,7.04013888889
556,30,-16,305.031805556
557,-38,93,40.3709722222
558,49,-133,73.7365277778
559,4,-165,15.5416666667
560,-18,-34,50.16625
561,-39,110,181.813333333
562,8,-110,12.3029166667
563,-39,-148,6.82013888889
564,-13,126,50.4869444444
565,42,7,9.96027777778
566,-20,8,109.38875
567,27,125,51.6594444444
568,-8,-5,76.6341666667
569,-31,156,210.163055556
570,-54,-42,1114.30222222
571,-44,3,498.345277778
572,18,-108,121.144444444
573,-52,169,96.9701388889
574,-42,-81,145.189861111
575,13,-43,6.07152777778
576,-21,101,3.95569444444
577,-40,-77,198.659861111
578,6,140,283.609027778
579,-40,71,1.62263888889
580,2,-117,16.5751388889
581,-28,-43,832.006388889
582,-43,30,5.88875
583,-37,-174,89.5780555556
584,2,-32,37.2
585,-35,-47,134.36
586,18,-128,13.3230555556
587,-4,91,11.6033333333
588,-15,3,275.395972222
589,-31,-151,310.888472222
590,47,-13,66.7488888889
591,65,-35,569.083194444
592,0,-116,5.10055555556
593,1,5,6.22652777778
594,-2,-163,3.52888888889
595,-22,-83,788.986388889
596,68,50,7.39930555556
597,43,-21,355.18
598,-10,-143,7.34569444444
599,40,171,246.779583333
600,-32,-110,329.603472222
601,36,-1,378.169166667
602,-31,72,55.0776388889
603,3,91,7.84930555556
604,64,-31,1911.36375
605,-4,-96,4.77805555556
606,43,-46,181.023472222
607,30,-88,56.9291666667
608,60,-35,979.518055556
609,-32,81,302.545555556
610,78,7,6.50625
611,-33,175,5.34861111111
612,-8,-100,78.035
613,-13,-147,1.57875
614,89,12,6.95097222222
615,-31,-106,293.520833333
616,14,-151,6.36236111111
617,64,177,24.5968055556
618,-44,17,34.0940277778
619,-8,-99,2.70333333333
620,-8,-27,90.9516666667
621,-33,-124,291.2675
622,-40,101,333.774305556
623,59,-63,12.2195833333
624,-28,48,1588.09861111
625,-34,-86,4.3725
626,32,-154,280.149305556
627,-11,56,1.07916666667
628,47,-131,21.5831944444
629,72,-76,1.60708333333
630,-18,103,4.22666666667
631,78,22,27.5463888889
632,-16,93,2.46694444444
633,-32,-33,80.8465277778
634,-50,62,2.01027777778
635,-17,161,39.2922222222
636,74,68,3.38416666667
637,17,172,23.3273611111
638,-56,12,8.74027777778
639,21,-131,1.2
640,21,-132,8.87597222222
641,20,-93,26.3445833333
642,39,130,14.0681944444
643,14,60,778.128888889
644,41,-57,1.69694444444
645,-9,-17,0.967361111111
646,33,-171,187.433194444
647,15,175,5.10638888889
648,31,-151,30.4008333333
649,-14,76,95.3823611111
650,-13,-174,2302.68652778
651,-21,-125,365.513611111
652,-4,-102,38.8198611111
653,-30,39,1618.36638889
654,-20,11,3761.03625
655,31,-178,30.6947222222
656,24,119,280747.680556
657,-19,56,502.484861111
658,-12,89,343.824861111
659,62,-6,29823.6109722
660,48,-11,19558.1466667
661,57,164,33.3894444444
662,-15,171,2047.81083333
663,32,34,6104.55652778
664,28,-16,979.32625
665,5,150,622.255138889
666,-34,-73,1537.165
667,54,-5,17749.9855556
668,54,-9,3100.25222222
669,-3,-137,334.825833333
670,10,-27,654.27625
671,36,-9,52805.9122222
672,57,-7,16158.5520833
673,2,-79,70.8626388889
674,-10,3,201.344027778
675,-7,164,841.427361111
676,72,35,310.400277778
677,47,-6,42678.9648611
678,42,10,49785.1691667
679,-25,63,263.116527778
680,-18,57,1320.33013889
681,-6,46,152.692777778
682,59,4,6825.855
683,36,21,562.663055556
684,-22,-127,10.6325
685,-54,-71,207.424166667
686,-1,54,193.723194444
687,-51,13,541.510277778
688,-20,167,237.468611111
689,9,-35,452.918333333
690,-9,-122,351.278194444
691,-31,41,470.802361111
692,-4,-168,867.235
693,-33,39,176.66125
694,1,-16,308.660416667
695,17,-31,270.980277778
696,29,-13,746.364027778
697,-7,79,229.393333333
698,7,-150,113.099305556
699,-25,57,331.539444444
700,-12,173,961.300833333
701,31,-28,309.321527778
702,33,-20,101.237777778
703,74,36,5600.46416667
704,-9,-121,388.439583333
705,50,-127,94.66625
706,-20,58,591.056805556
707,71,34,3546.29
708,-1,67,362.064861111
709,-8,-88,55.7191666667
710,-9,56,992.302222222
711,-15,163,185.884166667
712,-14,52,245.26625
713,29,159,550.049444444
714,31,-52,3.54541666667
715,-52,-68,412.500694444
716,-21,-14,84.2831944444
717,-28,160,239.575972222
718,-22,160,527.597916667
719,25,-97,1237.83263889
720,15,-32,404.157222222
721,0,-8,141.90875
722,32,-173,369.35125
723,10,-100,20.3208333333
724,34,16,574.775416667
725,72,20,783.904166667
726,25,123,3163.79972222
727,12,178,1065.79388889
728,6,-172,804.706666667
729,-5,-112,68.9109722222
730,-39,-154,4.04222222222
731,-8,151,164.268888889
732,-15,-145,19.6068055556
733,29,124,2938.81930556
734,22,-91,17.5473611111
735,36,-44,437.049027778
736,34,23,99.0759722222
737,25,-157,314.326944444
738,-4,63,683.7225
739,22,153,482.595416667
740,63,-3,294.920416667
741,-35,-55,4106.76652778
742,44,143,2073.40208333
743,-6,57,135.296666667
744,25,-113,544.951388889
745,-1,150,1097.71194444
746,17,134,169.750138889
747,35,-9,368.698333333
748,6,-132,101.303611111
749,18,-166,14.2993055556
750,62,-3,734.101527778
751,-11,127,41.2455555556
752,-13,78,343.859444444
753,63,-40,1133.05555556
754,6,-38,44.8291666667
755,-13,64,71.4358333333
756,27,137,39.0372222222
757,4,-88,167.44125
758,-11,-100,0.802777777778
759,21,-25,650.118611111
760,38,-123,3.41333333333
761,-33,13,85.7359722222
762,54,-15,453.219722222
763,-10,-152,1483.20708333
764,-18,-172,893.994861111
765,-39,31,679.570833333
766,13,-118,24.6856944444
767,62,18,683.841388889
768,-7,-104,97.8305555556
769,-16,-147,0.814166666667
770,22,-98,29.2644444444
771,18,177,8.37888888889
772,12,-103,179.683611111
773,20,-135,19.6669444444
774,15,128,36.3530555556
775,58,-168,1478.50736111
776,-37,-3,33.1254166667
777,-30,-97,30.3806944444
778,13,-167,720.575972222
779,-15,-164,411.17125
780,3,1,226.027638889
781,35,149,1783.21430556
782,-27,-2,81.5044444444
783,25,58,2209.84597222
784,12,-144,29.7986111111
785,17,-107,183.776805556
786,15,-108,96.6783333333
787,18,137,56.3711111111
788,12,-21,129.910694444
789,12,-43,127.110138889
790,-43,-6,841.133055556
791,-8,-29,31.9652777778
792,-10,-117,430.270277778
793,-19,5,606.772361111
794,24,-140,47.8527777778
795,36,-74,32.80875
796,16,-173,8.11930555556
797,40,130,17.1631944444
798,13,-145,46.8895833333
799,9,173,260.175277778
800,-41,153,130.834444444
801,74,50,6.52055555556
802,-31,71,57.7366666667
803,48,-60,85.9888888889
804,61,159,121.484027778
805,-45,51,11.1173611111
806,-14,7,10.5925
807,37,-172,300.735555556
808,22,-75,1.86972222222
809,38,136,65.8461111111
810,-52,165,3.78861111111
811,-35,68,70.3340277778
812,39,153,1020.45611111
813,37,-177,26.2629166667
814,38,-175,397.217361111
815,-33,-165,41.5105555556
816,-32,109,459.857777778
817,21,-141,6.00888888889
818,-58,172,569.352638889
819,-15,-153,25.4340277778
820,-33,89,94.8508333333
821,-10,60,284.87625
822,-34,94,45.0620833333
823,-29,8,177.685972222
824,25,-116,27.3156944444
825,-5,-89,0.112222222222
826,-3,146,32.4475
827,5,-114,111.89875
828,17,124,13.0456944444
829,8,133,43.8711111111
830,46,-17,422.87625
831,66,-32,11.4351388889
832,64,179,516.31
833,5,128,0.955833333333
834,-32,-109,164.793888889
835,77,27,2611.78472222
836,49,-68,3.02486111111
837,73,5,1.60777777778
838,79,60,3.25902777778
839,-22,2,290.040555556
840,67,-60,33.6313888889
841,20,128,25.7881944444
842,9,167,1.36055555556
843,-32,6,4.16291666667
844,-24,67,127.865277778
845,-29,-35,261.893194444
846,-32,-37,0.204027777778
847,-17,-12,28.7038888889
848,-20,102,5.61375
849,70,-12,1.61430555556
850,21,-153,225.741944444
851,10,-55,6.03763888889
852,21,-145,77.8316666667
853,51,149,8.87972222222
854,40,39,1.68986111111
855,-16,-26,260.497916667
856,-33,-103,11.7541666667
857,60,-39,1.88902777778
858,53,-26,9.16694444444
859,-60,-51,1.16944444444
860,-19,-145,2.45597222222
861,-14,75,19.7879166667
862,20,-172,6.74277777778
863,-1,-96,0.876666666667
864,-17,11,1298.72041667
865,-13,171,552.624861111
866,1,-168,1877.41416667
867,76,13,3006.44027778
